,County,Squared Area,Licensed Drivers,Population,Teenagers ,65 or older,Car Accidents,Injuries,Alcohol Related Injuries,Speed related Injuries,Unrestrained related Injuries,Year,I-81,I-95,Fatalities,avgRain,avgSnow,countyElevation
255,"Portsmouth, VA",46.62,59823,94997,5127,13618,1275,932,49,115,47,2016,No,No,8,40.42169599,13.30203498,836.4605695
256,"Radford, VA",10.19,8357,17410,2661,1511,182,60,10,12,4,2016,No,No,0,40.57800207,13.35580203,839.6089175
257,"City of Richmond, VA",62.61,143613,225288,14353,27744,5599,2620,169,392,156,2016,No,Yes,16,40.73489798,13.40977121,842.7691014
258,"Roanoke, VA",42.93,65269,99743,4844,15626,1302,515,30,112,30,2016,No,No,9,43.6,15.5,1726
259,"Salem, VA",14.55,19698,25547,2085,4713,589,204,12,35,12,2016,Yes,No,0,40.89238593,13.46394328,845.9411657
260,"Staunton, VA",19.76,17827,24257,1256,5024,477,542,24,48,17,2016,No,No,1,41.05046817,13.51831901,849.1251551
261,"Suffolk, VA",429.09,62587,89294,5654,12138,1605,1114,68,174,52,2016,No,No,7,41.20914694,13.57289916,852.3211143
262,"Virginia Beach, VA",497.35,330665,451404,27021,59523,7204,3720,291,510,112,2016,No,No,19,41.36842449,13.62768449,855.5290884
263,"Waynesboro, VA",14.06,16052,21802,1162,3974,386,176,15,41,12,2016,No,No,1,41.52830308,13.68267579,858.7491226
264,"Williamsburg, VA",8.74,19127,14952,2433,2269,216,149,3,18,5,2016,No,No,0,41.68878497,13.73787382,861.9812621
265,"Winchester, VA",9.33,21341,27566,1929,4170,564,186,10,21,5,2016,No,No,2,41.84987245,13.79327936,865.2255526
